user_uuid,drop_user,user_gender_corr
6528223a-7342-99e2-853b-d2413fa4b66f,0,masculino
16c799c6-c0d5-404b-87c2-20a85cf32da8,0,masculino
4ec63540-062c-485c-8398-b6e9314a5ed5,0,masculino
9ea76a19-de7a-43cc-9094-4ebc61dfc82f,0,masculino
411a3eb9-c442-44d9-9f4a-4cfdd0e39f58,0,feminino
88351b4d-2fc0-46b3-866b-b2917a97ae58,0,feminino
f192707a-7603-5df6-dd99-58433167c3c1,0,feminino
94cd280b-d9e3-b39f-3f96-10ad857d2ab1,0,feminino
ed9ed79d-7187-4673-a728-c56457c364a5,0,feminino
eff72f86-4d4f-4df8-848c-3a85a3e8d508,0,feminino
b4f56b7b-d5fd-412a-8d2b-7787852d38e4,0,feminino
a09298d4-2057-4aca-946f-7467fc67b852,0,feminino
a04c87b2-cb08-4fb1-bbed-04ba0b95b115,0,feminino
6b6ba524-0ca2-4709-bc77-a9a866f0d0f4,0,feminino
ce1c9b38-a251-4598-92e4-f18ddbba4647,0,feminino
78848b75-1b59-4745-ab5e-8d8c238a2ed1,0,feminino
6fc27c8c-48e7-4592-a2fc-105da5d9515e,0,feminino
6d562569-bf3d-4fbe-ae62-1148e0105a39,0,feminino
ab5473e0-086f-4820-b078-f70d6d0a2eee,0,feminino
9b63d787-22f7-4291-942e-70ee1854d9a7,0,feminino
736beeb5-8185-4531-b06f-ada65b90c274,0,feminino
6f1691a9-60c5-4d6d-926b-ea14de3ff30a,0,
c668e871-935c-431f-bfb8-6a6ccf0604ea,0,
3d118115-b5bd-4230-b4b1-006e1219bca7,0,
df31a3d4-3f0f-42ec-97a2-2b6c2679464f,0,
2a53de55-5d8f-46b4-a38d-bdf4e59b7fe6,0,
6f6b65aa-8a46-473c-a0e7-b3c7549cfd66,0,
96081d01-b52c-440f-be87-5108b9cec82a,0,
83d8d989-e0a3-40d0-9514-da594db5bbd0,0,
e235e43c-21cb-4f99-b2f9-4543ed5056c1,0,
fec03190-879b-496a-897e-5f17fd523a7e,1,
152ed9c2-d0fe-4f21-a9a7-ac5f7bb33e02,1,
c37d365e-abeb-4097-bc4f-a86be66de394,1,
43e7ce9c-9272-40c4-93be-56e0c1c52142,1,
7ca77361-58ed-4846-9c4d-6d98dbd9a64b,1,
271ee758-6b88-43e3-affd-f0fbe95ae0c7,1,
